data_iniSE,casos,umidmed,tempmed
2020-03-08,19,82.2922692857143,27.3214285714286
2020-03-15,9,82.4556678571429,27.9686145714286
2020-03-22,10,82.1389884285714,27.5416662857143
2020-03-29,17,78.2314057142857,28.3749997142857
2020-04-05,22,81.8710308571429,28.2619045714286
2020-04-12,17,81.267155,27.8392854285714
2020-04-19,23,84.5973112857143,26.5357142857143
2020-04-26,35,84.2521485714286,26.2976191428571
2020-05-03,43,85.1176087142857,26.4880954285714
2020-05-10,52,86.0906648571429,25.740896
2020-05-17,57,84.6167078571429,26.1666662857143
2020-05-24,84,81.5250565714286,26.4583334285714
2020-05-31,86,83.3823538571429,26.125
2020-06-07,56,80.0088305714286,26.4390757142857
2020-06-14,72,76.284458,26.4810245714286
2020-06-21,59,79.767285,25.40295
2020-06-28,53,79.3628062857143,24.895889
2020-07-05,50,78.3682407142857,25.1110317142857
2020-07-12,38,80.8310028571429,24.6537265714286
2020-07-19,26,75.1374721428571,25.054479
2020-07-26,13,76.5058485714286,25.4057734285714
2020-08-02,7,77.2111031428571,24.334886
2020-08-09,15,77.4026642857143,25.062112
2020-08-16,7,77.6648657142857,25.2308488571429
2020-08-23,6,77.160172,24.3310042857143
2020-08-30,5,75.4567685714286,25.3083777142857
2020-09-06,2,75.7613107142857,25.3304862857143
2020-09-13,2,75.3852008571429,24.9466877142857
2020-09-20,8,78.1126371428571,25.4849897142857
2020-09-27,0,74.3822257142857,26.1632652857143
2020-10-04,3,78.1731954285714,26.0830745714286
2020-10-11,3,77.9095771428571,26.2945137142857
2020-10-18,3,79.2119837142857,26.2727745714286
2020-10-25,0,80.6888421428571,26.7163562857143
2020-11-01,2,89.1486755714286,25.5646525714286
2020-11-08,4,73.9163571428571,26.9060554285714
2020-11-15,1,83.78673,26.8742
2020-11-22,0,73.3471011428571,26.9780017142857
2020-11-29,2,76.68722667519748,25.733835799367153
2020-12-06,0,76.68722667519748,25.733835799367153
2020-12-13,0,76.68722667519748,25.733835799367153
2020-12-20,0,76.68722667519748,25.733835799367153
2020-12-27,0,68.693465,28.3125
2021-01-03,1,69.9679837142857,28.3734471428571
2021-01-10,3,75.8075142857143,27.797412
2021-01-17,1,68.5150642857143,27.8333334285714
2021-01-24,0,68.9314405714286,28.0859211428571
2021-01-31,1,77.4349891428571,27.645186
2021-02-07,0,67.8126797142857,28.5297617142857
2021-02-14,0,70.5238298571429,28.6130951428571
2021-02-21,2,71.9438092857143,28.193888
2021-02-28,0,69.7643228571429,27.3624848571429
2021-03-07,1,69.5154364285714,27.2863874285714
2021-03-14,0,69.4807831428571,27.1123191428571
2021-03-21,0,65.3774854285714,27.5675468571429
2021-03-28,0,70.5073064285714,27.7083334285714
2021-04-04,0,73.7643122857143,26.9121695714286
2021-04-11,0,71.80662,26.4761905714286
2021-04-18,0,83.023485,25.9560045714286
2021-04-25,2,73.2689837142857,26.9800725714286
2021-05-02,1,74.3108031428571,26.1428571428571
2021-05-09,1,68.8519148571429,26.0714285714286
2021-05-16,0,69.0123378571429,25.8214288571429
2021-05-23,0,71.5050965714286,25.7023814285714
2021-05-30,0,73.7361594285714,26.0472308571429
2021-06-06,0,73.589718,25.7119965714286
2021-06-13,0,67.5168661428571,25.4575568571429
2021-06-20,1,72.4616885714286,25.3222045714286
2021-06-27,0,74.2426247142857,24.2831971428571
2021-07-04,0,78.0207222857143,24.0163042857143
2021-07-11,0,70.7006167142857,24.9337477142857
2021-07-18,0,74.8316718571429,24.4886125714286
2021-07-25,1,79.6640457142857,24.209086
2021-08-01,1,69.3791795714286,24.0753811428571
2021-08-08,1,69.1076967142857,24.4461697142857
2021-08-15,0,69.6329442857143,24.506564
2021-08-22,0,77.4180977142857,24.0333851428571
2021-08-29,0,73.7151762857143,24.7725157142857
2021-09-05,0,73.6958478571429,25.1283645714286
2021-09-12,0,67.7466255714286,25.737578
2021-09-19,0,66.7467628571429,25.4107142857143
2021-09-26,0,69.9822457142857,25.9583331428571
2021-10-03,0,69.8078464285714,26.2261908571429
2021-10-10,0,71.0279632857143,26.7841611428571
2021-10-17,0,73.4719164285714,26.4099377142857
2021-10-24,0,72.3469785714286,26.266822
2021-10-31,0,77.7665685714286,26.3721534285714
